name,address,phone,lat,lon
Kazi Nazrul Islam Sarkari School,"84/2, Dhalka Nogor Lane, Dhaka",,23.7005158,90.4244288
Gandaria Govt. Girl's Primary School,"7, Dinnath Sen Road, Dhaka",,23.702801,90.42307
Monija Rahman Girl's School and College,"7, Dinnath Sen Road, Dhaka",,23.7028948,90.4230826
Gandaria Ideal School & College,"6/2, Shasibhusun Chartijee Lane, Dhaka",,23.7058222,90.4230446
Gandaria Mohila Samiti Government Primary School,"17, Shoshibushun Road, Dhaka",,23.7049216,90.4236984
দনিয়া বিশ্ববিদ্যালয় কলেজ,"Dhaka–Chittagong Highway, Dhaka, 1236",,23.7036155,90.4477191
বর্ণমালা আদর্শ উচ্চ বিদ্যালয় ও কলেজ,"Shanir Akhra, Dhaka, 1236",,23.7022922,90.4481928
Dolairpar High School,"Mirhajirbag Road, Dhaka",,23.7029608,90.4339033
Jagannath University Play Ground,,,23.7070102,90.422629
Meyor Mohammad Sayed Khokon Center,Dhaka,,23.7076971,90.4227922
Bangladesh Bank Adorsho Uccho Biddaloy,"Bank Colony Road, Dhaka",,23.6969513,90.425578
Manija Rahman Girls School,"23-26, Rajani Chowdhury Road, Dhaka",,23.7038508,90.4226794
Anjuman Mufidul Islam Boys Orphanage & Technical Institute,"44, Rajani Chowdhury Road, Dhaka",,23.7038903,90.4216968
Hazrat Fatema Mohila Madrasa,"99/5, Dinanath Sen Road, Dhaka",,23.7026928,90.4250804
Fazlul Haque Mahila College Market.,"16, 17, Akshay, Dhaka",,23.7022803,90.4223777
Shapla Kinder Garten,"18, S B C Lane, Dhaka",,23.7050902,90.423778
Gandaria High School,,,23.7015344,90.4244242
Gandaria Government Primary School,"Dinanat Sen Road, Dhaka",,23.7049756,90.425784
Koratitola C.M.S Memorial High School and college,"42/1, Koratitola road, Dhaka, 1100",,23.7141177,90.4254276
Rose Garden School,"52/3, Dhalka Nagor Lane",,23.6981163,90.4264018
Fair International High School,"42/1, Horechoron Ray Road",,23.6977123,90.4235981
Adorsho Accademy Gendariya,"33/Kha/10, Shatis Soekar",,23.7025547,90.4271631
Kisholy Kochi Kachar Mela,,,23.7031792,90.4235725
Nesaria Kamil Madrasa,"46, Dhalka Nagar Lane, Dhaka, 1204",,23.6974329,90.4271745
Cox View International School,"62, Dhalka Nagar Lane, Dhaka, 1204",,23.7004589,90.4237055
Baytul Ullum Madrasha,"Dhalka Nagar Lane, Dhaka",,23.7003364,90.4254765
Shamsul Haque Khan School & College Road,,,23.7045434,90.4719474
Saheed Kazi Aref School,,,23.7164285,90.4257242
Dhaka Cotton Mill Adarsha High School,"Haricharan Ray Road, Dhaka, 1204",,23.6930759,90.4268088
Dhalpur Community Centre,,,23.7174128,90.431542
Jago Art Center,,,23.7161731,90.4247114
River View HIgh Schools & College,C 34,,23.6929137,90.4243424
Kobbad Sardar School,Distillery Road,,23.7075479,90.4232035
এ.কে. স্কুল অ্যান্ড কলেজ (প্রধান শাখা),"Dania-Dolairpar Road, Dhaka, 1236",,23.7019235,90.4430708
Dr. Mahbubur Rahman Mollah College,"Dhaka, 1362",,23.7164649,90.461845
College Road,,,23.6889305,90.4476056
College Road,,,23.6885308,90.4473253
Modern Language Center,"88/3, Jatrabari Road, Dhaka, 1204",,23.710993,90.4323113
Dolairpar Primery School,"West Dolairpar, dolaipar high school road, Dhaka, 1204",,23.7025803,90.4333141
Dolairpar High School. Building-1,"dolaipar high school road, Dhaka, 1204",,23.7027843,90.4333821
Dhaka International Diploma Medical College,,,23.7010008,90.4350937
"Golden Sun Thai, Chinese Restaurant & Party Center",,,23.7025566,90.4347867
Somrat Community Center সম্রাট কমিউনিটি সেন্টার,,,23.7051724,90.4355185
Shimul Coaching Academy শিমুল কোচিং একাডেমী,,,23.6851217,90.4380899
Rifa Convention Center,,,23.6866156,90.4342913
Jatrabari Ideal High School playground,,,23.7112439,90.4299665
Jatrabari Ideal High School,,,23.7112177,90.4298582
School Road,,,23.6941812,90.4744063
Dolairpar KinderGarden School,"64-B, West Dholaipar, wazed ali street, Dhaka, 1204",,23.6997985,90.4330664
তামিরুল মিল্লাত মহিলা কামিল মাদরাসা,,,23.6945874,90.4759169
মানিকনগর মডেল উচ্চ বিদ্যালয়,,,23.7221706,90.4347001
বাংলাদেশ ইসলামী বিশ্ববিদ্যালয়,,,23.7290761,90.4521073
Matuail Girls High School Playground,,,23.7093419,90.4600557
Matuail Bahumukhi High School Playground,,,23.7084871,90.4595973
Gobindapur Govt. Primary High School Playground,,,23.7048254,90.4526379
Park International School & College,"13, Road 9, Block A, Green Model Town",+880247213891,23.7270847,90.4476564
