name,address,phone,lat,lon
Wheelock College Library,"132, Riverway, Boston, 02215",,42.3431087,-71.1046732
Leverett House Library,"28, DeWolfe Street, Cambridge, 02138",,42.3693862,-71.1168004
Summer Street Preschool,"184, Summer Street",+16176279355,42.3869563,-71.1082583
St. Catherine of Genoa School,"190;192, Summer Street",,42.3869555,-71.1087639
Somerville High School,"81, Highland Avenue, Somerville, 02143",+1 617 625 6600,42.3867697,-71.0956551
The Advent School,"99, West Cedar Street, Boston, 02114",+1-617-742-0520,42.3608055,-71.0698513
Cardinal Cushing Library,"400, Fenway, Boston, 02115",,42.3403756,-71.1016487
Our Lady of Grace Seminary,"2, Ipswich Street",,42.3473339,-71.0897377
Houghton Library,"29, Cambridge, 02138",+1 617-495-2440,42.3731931,-71.1159416
Lamont Library,"11, Quincy Street, Cambridge, 02138",+1 617-495-2452,42.3727688,-71.1154781
Divinity Hall,"12;14, Divinity Avenue",,42.3786358,-71.1143085
Stan Getz Media Center And Library,"138;150, Massachusetts Avenue, Boston, 02115",,42.3467937,-71.0869775
Allston Brighton APAC,"406, Cambridge Street",,42.3548087,-71.1337191
Studio 52,"138, Harvard Avenue, Allston, 02134",,42.3522044,-71.1313535
Harvard-Yenching Library,"2, Divinity Avenue, Cambridge, 02138",,42.3776973,-71.1137358
Cambridge Public Library,"449, Broadway, Cambridge, 02138",+1 617-349-4040,42.3739938,-71.110524
Maria L. Baldwin School,28,,42.3822984,-71.116682
Larsen Building,"14, Appian Way, Cambridge, 02138",,42.375421,-71.1212915
The Learning Circle,"137, Highland Avenue",,42.3881618,-71.1019917
Blackstone South,"46, Blackstone Street",,42.3636136,-71.1150022
Somerville Central Library,"79, Highland Avenue, Somerville, 02143",+1 617 623-5000,42.3857881,-71.0944054
Cambridge Nursery School,"6, Hillside Place",,42.3861421,-71.1245938
University Hall,"1815, Massachusetts Avenue",,42.3872747,-71.1185971
William McKinley Middle School,"50, Saint Mary's Street, Boston, 02215",+1-617-635-9853,42.347944,-71.1067627
Boston University Academy,"1, University Road, 02215",+1 617 353 9000,42.35116,-71.1100412
Cambridge Library Central Square Branch,,,42.3638971,-71.103805
Hastings Building,"1541, Massachusetts Avenue",,42.3774862,-71.1195815
Coolidge Corner Branch Library,"31, Pleasant Street, Brookline, 02446",+1-617-730-2380,42.3435529,-71.1191551
Baker Library / Bloomberg Center,"Soldiers Field, Boston, 02163",+1 617 495 6040,42.3664146,-71.1227928
Cambridge Rindge & Latin School,"459, Broadway, Cambridge, 02138",,42.374028,-71.1107118
Schlesinger Library,"3, James Street",,42.3757485,-71.1231303
Morse School,,+16173496575,42.3557398,-71.112251
Thomas Gardner School,,,42.3607269,-71.1339454
German International School Boston,"57, Holton Street, Boston, 02134, US",,42.3604371,-71.1358442
Emmanuel College,,,42.3406961,-71.1029959
Albert F. Argenziano School,"290, Washington Street, Somerville, 02143",+1-617-629-5460,42.3788647,-71.098765
Shady Hill School,,,42.3713556,-71.1381545
Mugar Memorial Library,"771, Commonwealth Avenue, Boston, 02215",+1-617-353-2700,42.3510008,-71.1080037
Prospect Hill Academy Charter School,"15, Webster Avenue, Somerville, 02143",,42.3787033,-71.0966214
Jack Hamilton Center,,,42.3775294,-71.0935097
Kennedy-Longfellow School,,,42.3693777,-71.0864554
Bunker Hill Community College,"250, Rutherford Avenue, Boston, 02129",,42.3762873,-71.0710009
Boston Latin School,"78, Avenue Louis Pasteur, Boston, 02115",+1-617-635-8895,42.3379176,-71.1011849
Boston University Brookline Campus,"43, Hawes Street",,42.3438029,-71.1097679
Wheelock College Brookline,,,42.3414082,-71.1125427
The Winsor School,"Pilgrim Road, Boston, 02215",+1 617 735 9500,42.3401596,-71.1071745
Buckingham Browne & Nichols Upper School,"80, Gerry's Landing Road, Cambridge, 02138",,42.3713093,-71.136209
Fisher College,"118, Beacon Street, Boston, 02116",+1-617-236-8818,42.3553649,-71.0738358
Northeastern University,"360, Huntington Avenue, Boston, 02115",,42.3389585,-71.0886069
"Dr. Martin Luther King, Jr. School",,,42.367053,-71.1126344
Florida Ruffin Ridley School,"345, Harvard Street, Brookline, 02446",+1 617 879 4400,42.3448331,-71.1238123
East Somerville Community School,,,42.3859716,-71.0865489
French Cultural Center,"53, Marlborough Street, Boston, 02116",+1 617 912 0400,42.3541269,-71.0747433
Amigos School,,+16173496567,42.3630378,-71.1082653
McKinley Preparatory High School,"94, Peterborough Street, Boston, 02215",,42.3435036,-71.0990877
Michael E. Capuano Early Childhood Center,,,42.3828157,-71.086501
Buckingham Browne & Nichols School (Lower School Campus),,,42.3790903,-71.1286357
Buckingham Browne & Nichols School,,,42.3808324,-71.1312263
Cambridgeport School,,,42.3694832,-71.097802
Fletcher Maynard Academy,,,42.3667408,-71.0959345
Graham and Parks School,"44, Linnaean Street, Cambridge, 02138",+1 617-349-6577,42.382718,-71.1237238
King Open/Cambridge Street Upper School & Community Complex,,,42.3717534,-71.0910877
John F. Kennedy School,,,42.3892098,-71.1156338
Lesley University Porter Campus,,,42.3870848,-71.1184417
Lesley University Brattle Campus,,,42.3768662,-71.1246379
Lesley University Doble Campus,,,42.3811132,-71.1173792
Ivy Street School,"200, Ivy Street, Brookline, 02446",+1 617 238 5110,42.3475059,-71.1134854
NE Hebrew Academy,"9, Prescott Street, Brookline, 02446",+1 617 731 5330,42.3487693,-71.1108099
Somerville High School,,,42.3871393,-71.0963804
School of Theology,"745, Commonwealth Avenue, Boston, 02215",,42.3505055,-71.1073614
Prospect Hill Academy Charter School,"50, Essex Street, Cambridge, 02139",+1 617 497 8454,42.3676008,-71.100733
New England College of Optometry,,,42.3519159,-71.0867726
High School Extension Program,,,42.3709343,-71.1039891
William McKinley Middle School,"50, Saint Mary's Street, Boston, 02215",,42.3478657,-71.106691
Cambridge-Ellis School,,,42.3754783,-71.1096203
Lincoln Institute of Land Policy,"113, Brattle Street, Cambridge, 02138",,42.3771464,-71.1272721
Graduate Institute for Biblical Studies,,,42.3777529,-71.1262392
Boston University Fenway Campus,,,42.3422638,-71.1057254
Community Charter School of Cambridge,"245, Bent Street, Cambridge, 02141",+1 617 354 0047,42.36783,-71.0848607
New School of Music,,,42.3753729,-71.1334873
Boston Public Library,"700, Boylston Street, Boston, 02116",+1-617-536-5400,42.3493237,-71.0782892
Hilles Library,"59, Shepard Street, Cambridge, 02138",,42.3808977,-71.125098
Sherrill Library,"89, Brattle Street",,42.3763226,-71.1240713
Massachusetts Institute of Technology,Cambridge,+16172531000,42.3594232,-71.0959002
Honan-Allston Branch Library,"300, North Harvard Street, 02134",+1-617-787-6313,42.360135,-71.1279507
Center for Astrophysics,"60, Garden Street, Cambridge, 02138",,42.3814488,-71.1281998
Harvard University,,,42.3715831,-71.1233089
Wheelock College,,,42.3414082,-71.1125427
Northeastern University,"360, Huntington Avenue, Boston, 02115",,42.3402359,-71.0883307
Boston University,"Boston, 02215",,42.348138,-71.1090387
Massachusetts Historical Society,"1154, Boylston Street, Boston, 02215",+1-617-536-1608,42.3464338,-71.0899024
Berklee College of Music,"Boston, 02215",,42.3486073,-71.1056112
Boston Architectural College,,,42.3482816,-71.0862151
Lesley University,"29, Everett Street, Cambridge, 02138",,42.3822765,-71.1209193
Longy School of Music of Bard College,"27, Garden Street, Cambridge, 02138",,42.3789098,-71.123713
Simmons University,"300, Fenway, Boston, 02115",,42.3401576,-71.102904
Hult International Business School,"1, Education Street, 02141",+1-617-746-1990,42.370357,-71.0711299
Berklee College of Music,,,42.3471055,-71.0873578
Harvard Business School,"Soldiers Field, Boston, 02163",,42.3659409,-71.1218745
Harvard Athletic Complex,,,42.3684375,-71.1275137
Harvard University Science and Engineering Complex (SEC),,,42.3627369,-71.1252372
Harvard Medical School,"25, Shattuck Street, Boston, 02115",,42.3368895,-71.102975
